positions        types         sigalrm   sigsegv   sigill
  PT_F40        1_bit_flip          1         221         28    
  PT_F40        2_bit_flip          2         245         3     
  PT_F40         1_bit_0           110        134         6     
  PT_F40         2_bit_0            42        205         3     
  PT_F40         1_bit_1            39        185         26    
  PT_F40         2_bit_1            8         223         19    
  PT_F40         8_low_1            0         250         0     
  PT_F40         8_low_0            0         250         0     
  PT_F40       8_low_error          4         174         72    
  PT_F40          plus_1            0          0         250    
  PT_F40          plus_2           250         0          0     
  PT_F40          plus_3           250         0          0     
  PT_F40          plus_4            0          0         250    
  PT_F40          plus_5            0          0         250    
