positions        types         non   sigalrm   sigsegv   sigill   sigbus
  PT_F33        1_bit_flip          0         100         0          0          0     
  PT_F33        2_bit_flip          0         100         0          0          0     
  PT_F33         1_bit_0            0         100         0          0          0     
  PT_F33         2_bit_0            0         100         0          0          0     
  PT_F33         1_bit_1            0         100         0          0          0     
  PT_F33         2_bit_1            0         100         0          0          0     
  PT_F33        1_bit_flip          0         200         0          0          0     
  PT_F33        2_bit_flip          0         200         0          0          0     
  PT_F33         1_bit_0            0         200         0          0          0     
  PT_F33         2_bit_0            0         200         0          0          0     
  PT_F33         1_bit_1            0         200         0          0          0     
  PT_F33         2_bit_1            0         200         0          0          0     
  PT_F34        1_bit_flip          0         100         0          0          0     
  PT_F34        2_bit_flip          0         100         0          0          0     
  PT_F34         1_bit_0            0         100         0          0          0     
  PT_F34         2_bit_0            0         100         0          0          0     
  PT_F34         1_bit_1            0         100         0          0          0     
  PT_F34         2_bit_1            0         100         0          0          0     
  PT_F35        1_bit_flip          0         100         0          0          0     
  PT_F35        2_bit_flip          0         100         0          0          0     
  PT_F35         1_bit_0            0         100         0          0          0     
  PT_F35         2_bit_0            0         100         0          0          0     
  PT_F35         1_bit_1            0         100         0          0          0     
  PT_F35         2_bit_1            0         100         0          0          0     
  PT_F36        1_bit_flip          0         100         0          0          0     
  PT_F36        2_bit_flip          0         100         0          0          0     
  PT_F36         1_bit_0            0         100         0          0          0     
  PT_F36         2_bit_0            0         100         0          0          0     
  PT_F36         1_bit_1            0         100         0          0          0     
positions        types         non   sigalrm   sigsegv   sigill   sigbus
