pid = 4443, 0	 hello a's addr = 7fffd49df4c8	p addr = 7fffd49df4c0	p point addr = 66f010	q addr = 7fffd49df4b8	q point addr = 66f030
pid = 4344, 0	 hello a's addr = 7fff334cbc88	p addr = 7fff334cbc80	p point addr = 159a3010	q addr = 7fff334cbc78	q point addr = 159a3030
pid = 4349, 0	 hello a's addr = 7fff568c9c78	p addr = 7fff568c9c70	p point addr = f3e9010	q addr = 7fff568c9c68	q point addr = f3e9030
pid = 4354, 0	 hello a's addr = 7fff425804a8	p addr = 7fff425804a0	p point addr = 1ab81010	q addr = 7fff42580498	q point addr = 1ab81030
pid = 4359, 0	 hello a's addr = 7fff6c5212c8	p addr = 7fff6c5212c0	p point addr = 5219010	q addr = 7fff6c5212b8	q point addr = 5219030
pid = 4374, 0	 hello a's addr = 7fff5126b4c8	p addr = 7fff5126b4c0	p point addr = 10e7b010	q addr = 7fff5126b4b8	q point addr = 10e7b030
pid = 4379, 0	 hello a's addr = 7fff2b21ef28	p addr = 7fff2b21ef20	p point addr = 196fd010	q addr = 7fff2b21ef18	q point addr = 196fd030
pid = 4384, 0	 hello a's addr = 7fff199ffbc8	p addr = 7fff199ffbc0	p point addr = bb60010	q addr = 7fff199ffbb8	q point addr = bb60030
pid = 4389, 0	 hello a's addr = 7fff4101d308	p addr = 7fff4101d300	p point addr = 8c96010	q addr = 7fff4101d2f8	q point addr = 8c96030
pid = 4394, 0	 hello a's addr = 7fffa4aab748	p addr = 7fffa4aab740	p point addr = 13b3f010	q addr = 7fffa4aab738	q point addr = 13b3f030
pid = 4399, 0	 hello a's addr = 7fffd4c4d828	p addr = 7fffd4c4d820	p point addr = 107e8010	q addr = 7fffd4c4d818	q point addr = 107e8030
pid = 4404, 0	 hello a's addr = 7fff3df9b888	p addr = 7fff3df9b880	p point addr = 164a9010	q addr = 7fff3df9b878	q point addr = 164a9030
pid = 4414, 0	 hello a's addr = 7fff6aceb998	p addr = 7fff6aceb990	p point addr = 99d9010	q addr = 7fff6aceb988	q point addr = 99d9030
pid = 4428, 0	 hello a's addr = 7fffabbf7338	p addr = 7fffabbf7330	p point addr = 1ca12010	q addr = 7fffabbf7328	q point addr = 1ca12030
